REF	OUTPUT	F1	EM	chrf	bleu
"It's an industrial poison built into large amounts of our housing stock," notes Andrew Morgan, the lawyer who represented Andrew Lawson in his case against Guy's Hospital.	"It is an industrial poison that is contained in large parts of our properties," said Andrew Morgan, the lawyer who has represented Andrew Lawson in his trial against Guy's Hospital.	0.5	0.4444444444444444	51.49905614240398	50.00000000000002
The Education Ministry said about a dozen families still had not returned.	The Ministry of Education said, about a dozen families is not yet returned.	0.7666666666666666	0.3333333333333333	67.73001291618715	61.556021239177255
I will learn to be a heart surgeon.	I will become heart surgeon.	1.0	1.0	100.0	100.00000000000004
A 78-year-old man is to stand trial accused of running over a three-year-old girl on a pelican crossing in Fife.	A 78-year old man stands because of the over driving of a three-year girl on a pedestrian crossing into Fife in court.	0.3085714285714286	0.2	51.26323648851549	26.571429597481636
The squally conditions are believed to have contributed to the delayed landing of a Virgin Airlines flight from Melbourne to Adelaide.	The gusty weather conditions had probably led to the belated arrival of a flight of Virgin Airlines from Melbourne to Adelaide.	0.6333333333333333	0.5	69.56009814044975	57.24827300226869
I got up and climbed back in to look for my mum.	I got up and climbed again in in order to search for my mother.	0.0	0.0	16.666666666666664	0.0
The deputy governor of the province, Chen Yunxian, emphasized this wish during his talks with the social democrat.	The vice governor of the province, Chen Yunxian, placed this wish in its conversation with the social democrats into the foreground.	0.5833333333333334	0.3333333333333333	63.87557426082599	50.46025362055019
Environmentally friendly vacuum cleaners and increasing wages	Environmentally friendly vacuum cleaner and rising wages	0.6666666666666666	0.3333333333333333	75.63941337011886	66.66666666666667
Three months ago the sale of Twitch to Google's video service, for a cool billion, looked all wrapped up, and the pairing seemed natural.	Three months ago, it looked as the sale of twitch to the video service from Google for a cool billion done deal, and the cooperation appeared too of course.	0.7619047619047619	0.5714285714285714	71.49058476985816	67.6536983191841
"How is it safe for women to speak publicly about relationships but not about safety in the public sphere?" she asked.	"How can it be safe for women to talk openly about a relationship, but not about safety in the public space?" She asked.	0.6	0.5	87.16610882901986	56.87901510186383
About 23,000 people in the UK are thought to have CMT, which can cause motor symptoms such as muscle weakness, an awkward gait and curled toes.	About 23,000 people in Britain are likely to suffer from CMT, which can lead to motor disorders such as muscle weakness, an insecure and curved toes.	0.5476190476190476	0.2857142857142857	43.856506135673364	46.22512689061266
The nicest photos will be published.	The most beautiful photos will be published.	0.4	0.0	36.72329965154791	27.516060407455225
Because the International Consumer Electronics Fair (IFA) in Berlin, once again showed us how incompetent we are when it comes to questions about technology.	Because the pushing of the Ifa makes our absolute incompetence to us clear again at the radio tower in this week in questions of the electronics.	0.1	0.0	18.34127180286989	5.503212081491045
Peskov said Putin's reference to statehood was meant in the context of the broader autonomy that has been discussed for months with the Kiev leadership as it struggles to allay fears in the Russian-speaking areas that their cultural and linguistic rights are in danger.	It said to Peskow that Putins reference to the Staatlichkeit in the context with the greater autonomy which is discussed by the Kiewer leadership for months must be seen in order to dispel apprehensions in Russian-speaking fields that their cultural and linguistic rights are endangered.	0.0	0.0	0.0	0.0
So this is his new incarnation?	This is the new personification?	0.0	0.0	26.7590311143185	0.0
His first championships goal at Rapid-Dress will, therefore, always be a special memory for him.	The first championship match in rapid-Dress will therefore remain in special memory.	0.45	0.25	82.05954942191656	38.758030203727614
Both were feared dead, but in fact they survived.	Both have been held for dead, but they survived.	0.0	0.0	9.25925925925926	0.0
Everything is geared to nothing less than a revolution: "The boundary between white and brown goods is becoming blurred," mutters an industry insider. You can connect your washing machine to your headphone; your steam oven can send you a weather report; and your data-goggles can tell you how long your pizza still has to go in the oven - but that's of little use if you're sitting in a traffic jam.	Everything does not come to anything smaller than a revolution does: "The borders between white and brown product become blurred", a branch expert whispers, one can connect the washing machine with some headphones, who sends to steam the weather report and the data glasses indicate how long the pizza still needs in the oven, what, however, does not use anything because we stand in the jam.	0.45555555555555555	0.3333333333333333	51.69583745837459	42.45252960780963
I was falling daily and everything took me longer to do.	I fell constantly there and everything lasted with me longer.	0.0	0.0	0.0	0.0
Now in Ukraine the war goes on, people are dying every day, and I believe many children were killed and will be killed.	In Ukraine, the war now again, and people die every day, and I believe that many children were killed and still be killed.	0.9333333333333332	0.8	85.42154287079055	87.35758882342888
His mother Fatima, 54, a senior GP, had dropped him for his first day at school before rushing to take her elder son Vladimir to university.	His mother, Fatima, 54, a doctor, had sacked him for his first day of school before she ran in her older son Vladimir to the university.	0.7291666666666666	0.5	76.17441007684289	62.03139496711416
She's a great mum.	It is a great mother.	0.5	0.0	53.63247635860231	49.99999999999999
Rebel forces announced on Monday that around 100 soldiers are also believed to have been injured or killed in fighting in the Donezk region; according to Russian agencies.	Around 100 soldiers have also been killed or injured in combat in the Donetsk region, told the insurgents on Monday, according to Russian agencies.	0.4375	0.375	46.484400027627586	43.750000000000014
Court of Appeal confirms the first successful personal injury claim in Britain as a result of asbestos exposure.	A court of appeal confirms the first successful people damage suit in Great Britain because of contact with asbestos.	0.2583333333333333	0.125	33.30296172828774	22.189507550931907
The engineers could not get a half-decent sound out of it.	The technicians were not in a position to create a fairly reasonable sound.	0.2222222222222222	0.0	18.541385322240416	12.262648039048083
Two crew members are missing.	Two crew members were regarded as missing.	0.5	0.0	18.12899904390674	13.533528323661276
The rebels also claimed that for the first time they have sunk two of the Ukrainian coastguard's boats in the Sea of Azov.	The rebels also claimed to have sunk two Ukrainian coastguard boats for the first time in the Azov Sea.	0.8333333333333334	0.5	78.20381399058921	68.98231544485044
Food suppliers are scarce	Food is scarce	0.5333333333333333	0.0	44.68878507820568	26.38076086165053
"I went into today with some pretty good hopes of finishing well," Johnston said, adding, "It just didn't work out."	"I went into today with pretty good hopes for a good result," said Johnston, adding: "It just didn't work out."	0.8888888888888888	0.6666666666666666	83.47315409018607	78.92931470571477
Henry still has a comedian's brain, though - throughout, our conversation is broken with flashes of his humour as he slips in and out of impressions.	But Henry still has the head of a comedian - our conversation is redolent of humorous outbursts, while he repeatedly imitated.	0.375	0.375	45.91683651071649	37.500000000000014
He was 45, and in the middle of a late evening surgery.	He was 45, and was late in the evening by an operation.	0.3333333333333333	0.3333333333333333	37.61022927689594	33.33333333333335
Introducing characters who both lampooned and celebrated black British culture, Henry worked on the alternative comedy circuit in the Eighties.	The introduction of characters that the British black culture both celebrated and scorned,, Henry worked in the 1980s for an alternative comedy circuit.	0.7	0.6	68.60120842882036	70.00000000000003
He needed an emergency operation and two further surgeries as well.	An emergency operation and two more interventions followed.	0.5555555555555555	0.3333333333333333	49.73140572934967	45.59598137238143
Despite improving tele-medicine services to lessen the tyranny of distance, she suggested more fly-in, fly-out services to allow specialists to treat women closer to home and programs to support people in treatment away from their communities could help.	Despite the improvement of telemedicine services, to oppose the distances something she suggested as a possible remedy a gain of service flown in doctors before to give specialists the opportunity to provide women closer to their home, as well as treatment programs for people living outside their region.	0.41991341991341985	0.18181818181818182	55.20830339112673	33.52717027698031
Torsten Sjöberg (castle club) and Herbert Piffl (castle friends), both members of the board, confirmed this in answer to our newspaper's query.	Confirm that the club stands Torsten Invest (Castle) and Herbert Piffl (and friends) on demand of our newspaper.	0.25925925925925924	0.1111111111111111	32.77725699632697	20.75421601301603
Some cameras are rated to only 5 feet, others to 50 or 60 feet.	Some cameras are only allowed for up to 5 feet, others up to 50 or 60 feet.	0.7833333333333333	0.5	68.38857853347244	69.76175950745889
Author's view: Howard Jacobson, whose novel "J" is longlisted for the Man Booker Prize 2014.	Portrait of the author: Howard Jacobson, whose novel “J” stands on the Longlist for which one Booker Preis 2014.	0.4285714285714286	0.3333333333333333	46.86211450212779	37.47345885509645
What came next was a Radio 4 documentary series called What's So Great About...?	Then came a documentary for Radio 4, entitled What's So Great About...?	0.6666666666666666	0.6666666666666666	68.54354354354355	66.6666666666667
I thought I'd be in a wheelchair at 18 and dead by the time I was 25 and in between gradually lose all my ability.	I thought that I would be in a wheelchair with 18 and 25 die, slowly and would lose all my skills.	0.5	0.4	54.07486642177325	45.503212081491064
All the trainees come from the county of Schwandorf: Tobias Braun and Thomas Bücherl from Schwarzach, Stefan Brickl and Florian Rewitzer from Schmidgaden, Johannes Beer from Neunburg vorm Wald, Felix Domaier from Oberviechtach, Daniel Sorgenfrei and Sebastian Zahner from Pfreimd, as well as Ferdinand Strebl from Teunz.	All trainees come from the district of Schwandorf: Tobias Braun and Thomas Buecherl from Schwarzach, Stefan Brickl and Florian Rewitzer from Schmidgaden, John Beer, from the forest, Felix Domaier from Oberviechtach, Daniel Sorgenfrei and Sebastian Zahner from Pfreimd and Ferdinand Strebl from Teunz.	0.6458333333333334	0.4375	72.5048432742107	54.98795918339072
After their reunion she said: 'I wept with joy.	After its reunification, she said: "I wept for joy.	0.5	0.5	74.73360856503265	50.00000000000002
Terrorists let her go but cruelly kept her 30 year old mother, ten year old older sister Kristina, and brother Makhar in the school gym.	The terrorists let go it, but held its 30-year-old mother, the 10-year-old sister in its cruelty Kristina and its brother Makhar in the school sports hall back.	0.3833333333333333	0.25	56.240644290625454	33.03800056557495
Mr Pidgley added: "Demand for the right product with good design in the best locations has remained resilient and, reflecting this, forward sales have been maintained."	Mr Pidgley added: "the demand for the right, well planned product at the best locations remained stable and as a result are also the Terminverkäufe remained stable".	0.4329004329004329	0.2857142857142857	50.167479851977	36.524255872996584
I'm just choosing not to do stand-up because that thing of getting instant gratification from a room full of strangers I guess is kind of dangerous.	I decided to make no condition UP Comedy because I find that this kind of the immediate satisfaction of a hall of full strangers is somehow dangerous.	0.2	0.2	25.70490928519116	20.000000000000007
In the conflict between the shiite Houthi rebels and the Yemen government, the Houthis have called for civil disobedience in the capital, Sanaa.	In the conflict between Shia Huthi-rebels and the Yemeni government the Houthis called for civil disobedience in Sanaa capital.	0.5773809523809523	0.375	78.98638143788989	51.0145872358597
To snobs like me who declare that they'd rather play sports than watch them, it's hard to see the appeal of watching games rather than taking up a controller myself.	For snobs like me who say that they prefer to watch a sport, it is difficult to understand the attraction, the assumption that others watching the games themselves to take the control console in the hand.	0.2	0.2	48.25128044088122	20.000000000000007
Josef Schmalzl was the head of the cannon division.	Josef Schmalzl became Advisor to firecrackers.	0.3333333333333333	0.3333333333333333	43.709989545829366	33.33333333333335
'I doubt we'll ever know the truth.	"I doubt that we will ever know the truth.	1.0	1.0	100.0	100.00000000000004
And it's clear we are dealing with an authoritarian regime.	And it is clear that we are dealing with an authoritarian regime.	1.0	1.0	100.0	100.00000000000004
In July a number of Turkish policemen were arrested for allegedly having set up an organized criminal gang and having tapped phone number.	In July, a series of Turkish policemen have been arrested for allegedly engaging in an organised criminal association had tapped and telephone numbers.	0.4666666666666667	0.4	70.76115402166975	45.503212081491064
The girl pictured trying to climb back inside the blitzed school gym	The girl who was shot in the attempt, in the zerschossene school sports hall zurückzuklettern	0.5238095238095238	0.3333333333333333	49.83864940194004	40.45478343993725
Companies in the region reported state corporate income taxes of $2.3 billion, up from $2.1 billion in 2012.	Companies in the region reported income taxes for State organizations of 2.3 billion $ compared to 2.1 billion in 2012.	0.8833333333333334	0.7	83.43574204397731	85.00000000000003
Besides Chegg and Amazon, eBay Inc's Half.com is a popular alternative for used books.	Except Chegg and Amazon is helped also. com of eBAY Inc a popular alternative for needed books.	0.45634920634920634	0.16666666666666666	58.27710151536655	36.89405838663529
Even when it was used, only people in specific industries worked closely with it - pipe laggers, builders, carpenters and shipyard workers, for example.	Even where it was used, only people worked directly with the material in certain sectors - plumbers, construction workers, carpenters and shipyard workers, for example.	0.23809523809523808	0.14285714285714285	32.81940637786356	21.428571428571434
My concern is that, if we are not forewarned, we will find ourselves repeating the mistakes that led to WHAT HAPPENED, IF IT HAPPENED, in the first place.	My concern is that, without warning, we may find ourselves in the process of repeating the mistakes that were made at the very first of the WHAT, IF ES HAPPENING.	0.4583333333333333	0.25	47.2355920969483	41.49339440153921
The Torpedo boys and girls are starting in the Lower Saxony liga, just like the lads from SC Weende.	The boys and girls of torpedo start in the Lower Saxony league, just as the boys the sports club of the Weende.	0.30476190476190484	0.14285714285714285	40.545973413447506	23.673470853545187
"What's happening in Maryland is that so much of their property, especially the tax base surrounding the D.C. area, is owned either by the government or by nonprofits, which don't pay property taxes," said Douglas Lindholm, executive director of the Center on State Taxation.	"The following occurs in Maryland: a large part of real estate, particularly in the tax area to DC, is either owned by the government or by non-profit organizations that pay no property taxes," said Douglas Lindholm, Managing Director of the Center on State Taxation.	0.5481818181818181	0.4	63.817481066304666	50.92282357212071
I wish I could call Cherie and just say it myself that 10 years have gone but I still remember meeting her and her husband in London, and how that helped Damir and me.	I wished, I could Cherie call and to her simply say that 10 years passed, but I the meeting me it and their man in London to still remember, and how the Damir helped and me.	0.6	0.6	63.912952237051954	60.00000000000002
"Sorry, but for twelve euros, I really expected more", Melanie Meier commented on the event's page.	"Sorry, but for twelve Euro has one simply more expects", expresses itself Melanie Meier on the organization side.	0.375	0.25	52.32374496780096	37.50000000000001
She was famously snapped by top Russian photographer Dmitry Beliakov wearing only her underwear as tried to climb back inside the blitzed school gym after a mine exploded.	She was photographed by the Russian star photographer Dimitri Beliakow and famous when she was only in her underwear tried in the zerschossene school sports hall zurückzuklettern after a mine exploded.	0.27777777777777773	0.16666666666666666	39.469188952173994	22.797990686190715
I lost consciousness.	I lost consciousness.	1.0	1.0	100.0	100.00000000000004
Qadri made similar comments:	Qadri said similar.	0.8333333333333333	0.5	69.9908088235294	68.39397205857215
"It's not unexpected, but it is still infuriating," said legislator Emily Lau, chairwoman of the Democratic Party.	"This is not unexpected, but it makes us angry," said legal expert Emily Lau, chairman of the Democratic Party.	0.6666666666666666	0.6666666666666666	77.06261293246119	66.6666666666667
Despite the battering that unions have taken in recent years - in Wisconsin, Michigan and states across the country - Americans once encouraged countries around the world to embrace, extend and respect labor rights.	Despite the setbacks, which have been subjected to the unions in recent years - in Wisconsin, Michigan and other states throughout the country, Americans have encouraged countries all over the world to recognise labour rights, and to expand.	0.4454545454545455	0.36363636363636365	53.84986693244884	42.361234327832456
In her agitation she seemed to tremble, like the fronds of a palm tree in a storm.	In their excitement, it seemed to tremble, as Palmwedel in the storm.	0.25	0.25	33.78163619470724	25.00000000000001
Tamsin is very sociable and boisterous.	Tamsin is very sociable and impetuous.	1.0	1.0	100.0	100.00000000000004
HR4-CYCLE TOUR 700 cyclists are taking a breather in the health resort of Bad Salzhausen and Schotten	HR4-700 cyclists ride in the park by bath salt (and Scots stopovers a	0.0	0.0	6.741247786162049	0.0
I understand, but I also think that thanks to this picture people from all over the world feel our pain.	I understand that, but I also think that people around the world to feel our pain, thanks to this image.	0.35	0.0	41.69194583613776	23.372409503403006
But he did hear, and he did run away.	But it has one and it is weggelaufen.	0.0	0.0	0.0	0.0
Tens of Turkish Policemen Arrested over 'Plotting' against Gov't	Dozens of Turkish police arrested for "conspiracy" against the government	0.08333333333333333	0.0	41.127717901288285	3.9933944015392027
Your feet's too big.	Your feet are too large.	1.0	1.0	100.0	100.00000000000004
"Training usually starts with a warm up program", the trainer explained.	"The training begins regularly with a heating program", tells the coach.	0.2	0.0	22.4028158184631	15.163266492815833
I remember terrible silence right after the siege, there were just no children to shout and run around, and that silence lasted for many months.	I remember the terrible silence after the siege, there were simply not any children who could call and walk around, and this silence lasted many months.	0.6	0.5	68.97443272018674	56.87901510186383
That said, the size will still be a world record.	The size remains, however, still world record.	1.0	1.0	100.0	100.00000000000004
Just try it: Laura, Lena, Lisa, Marie, Bettina, Emma and manager Lisa Neitzel (from left to right) are looking forward to new members.	Simply try out: Laura, Lena, Lisa, Marie, Bettina, Emma and Director Lisa Neitzel (from left) look forward to colleagues.	0.35	0.25	41.80979170216682	31.879015101863814
"It struck him as funny," he said instead.	``it appeared to him, ''he said.	0.0	0.0	0.0	0.0
Soon he was starring in Comedy of Errors.	And soon he appeared in the comedy of the errors.	1.0	1.0	100.0	100.00000000000004
All public servants are required to present themselves over the next two weeks at identification centres to ensure their data is captured through the biometric registration exercise, a government statement said.	All officials must appear now in the next two weeks near identification centers, in order to guarantee that their data are incorporated about the biometrical registrations, people communicated in a government information	0.3944444444444444	0.0	46.73705615182695	31.361521063119763
Fearing she was dead, he fled and on his way he saw a crying toddler, grabbed the child by the hand, and fled through a hail of bullets.	Full of fear, she could be dead, he fled and was on the way a toddler wines, it took in the hand and fled through a hail of bullets.	0.17142857142857143	0.0	23.009424684824626	11.89207115002721
State and local tax bills for companies across the country grew modestly last year as the economic recovery accelerated, according to new research released last week, and Washington-area firms were no exception.	State and local tax rulings for companies in the country rose slightly last year, while the accelerated economic recovery, a new study published last week, and the companies in the Washington area were no exception.	0.5939393939393939	0.36363636363636365	54.0174018030116	54.411068984411145
Unfortunately, there were not as many participants as the organizer had hoped for, which is presumably because of the bad weather forecast and the morning rain.	Unfortunately, there were not so many participants, as the organizer had hoped, which was probably due to the bad weather and the morning rain.	0.475	0.25	41.98004224383394	37.22010268181674
Russian President Vladimir Putin demanded Sunday that the Ukrainian government cease battling separatists in the country's east and immediately begin negotiations on the breakaway region's "statehood," according to Russian news accounts of his remarks.	The Russian President Vladimir Putin told Russian media reported on Sunday that the Ukrainian government stop the fighting against the separatists in the east of the country and immediately begins with negotiations on the "statehood" of the breakaway region.	0.5154761904761904	0.3333333333333333	61.81737501229872	44.093533025662076
Hops and malt - a popular combination even in China.	Hops and malt - also a popular combination in China.	0.6666666666666666	0.25	79.33166657452969	46.74481900680603
"I have rung Mr Piffl and suggested that we get together", Sjöberg reported.	"I phoned Mr Piffl and suggested that we could sit down with us," says.	0.3333333333333333	0.0	44.468156331073736	24.999999999999996
Paired with our new VIF options, we're looking forward to ensuring this year students reach university with minimum fuss and maximum luxury.	Together with our new VIF options we are looking forward to this year to ensure that the students of the university, with a minimum of effort and a maximum of luxury.	0.43809523809523804	0.0	41.760523464194925	19.028388064294656
The Hessian SPD chairman Thorsten Schäfer-Gümbel, who led the German delegation, said to the host that he would keeps his ears open in Germany for a possible partner.	The comments of Germany, who led the German politicians delegation, said to the host, he will pays them in Germany for a potential partners for the project.	0.2571428571428572	0.14285714285714285	35.593078757140695	19.23829481679025
Not all children back to school in Ukraine	Not all children in Ukraine return to the school	0.8333333333333334	0.6666666666666666	70.8202677345826	83.33333333333336
Eight WA winners have celebrated division one wins last month, capping off a lucky few weeks for the state's players.	Eight WA-Gewinner have celebrated profits in the first division last month, a fitting conclusion for a few happy weeks for the players in the state.	0.3333333333333333	0.25	44.736375254389365	31.250000000000007
She is a supporter of Pipeline South Stream, run by the Russian firm Gasprom, through which Russian natural gas is to be transported directly to southern Europe, by-passing Ukraine. This will also make Italy's own energy secure.	Are you in favour of the Russian company Gazprom on the South Stream pipeline, the Russian natural gas, bypassing Ukraine, is to be transported directly to southern Europe, which is also the Energiesicherung in Italy.	0.4962962962962963	0.2222222222222222	57.243906501232246	40.89201925662824
With Dawn French.	with Dawn French.	1.0	1.0	100.0	100.00000000000004
In Brussels, the realistic stance taken by Logherini in the Ukrainian crisis have been attacked and denigrated, particularly by the Polish members and those representing the Baltic States.	In Brussels, especially from Poland and the Baltic members suspicious realistic emphases of her for the crisis are pursued in Ukraine and framed as a "pro-Russian course."	0.3055555555555555	0.16666666666666666	42.08326248440826	27.662262934359475
China refuses to give Hong Kong right to choose leaders; protesters vow vengeance	China denies Hong Kong law on government election, protesters swear vengeance	0.5	0.4	57.68523904282928	50.000000000000014
"These stories resonate with women's organizations," she said.	“These stories find a response in the women's organizations,” told them.	0.6666666666666666	0.6666666666666666	83.57321771458085	66.6666666666667
In any case, Richter's methods were at times unconventional.	In every case, doing was judge sometimes unorthodox.	0.125	0.0	32.435441359528085	12.499999999999998
Putin said that anyone who believed peace talks are in the offing as Ukrainian politicians launch campaigns for an Oct. 26 parliamentary election and while government troops are attacking civilian communities in separatist-held regions is "a prisoner to illusions," Itar-Tass reported.	Putin and Ukrainian politicians pointed out that all those during the campaign for the elections on 26 Oct. while government groups attacking civilian communities in the areas held by separatists hope for early peace talks "trapped in their illusions," Itar-TASS reported.	0.4180272108843538	0.21428571428571427	50.17607269643203	34.614642038805876
And this was also a means to explain why he is now come to be so tolerant towards his fellow man.	Also, to show how he has learned tolerance in dealing with his fellow man himself.	0.4	0.0	52.81403535180016	27.516060407455214
Think of the neighbours	Thinking to the People " s Villages	0.0	0.0	8.974358974358973	0.0
According to statements released by the hospital, a police officer was injured.	According to hospital figures, a policeman was injured.	0.3333333333333333	0.3333333333333333	45.85630988157422	33.33333333333335
It is difficult to know what to say and how much to say.	It is difficult to know what we should say and how much.	0.0	0.0	0.0	0.0
On the second day of the tour program, the riders would call at the stopping points of Birstein; Wächtersbach; and Bad Orb - including a concert with the Trenkwaldern.	On the second day were for cyclists stations Birstein, Wächtersbach and Bad Orb - including a concert with the Trenkwaldern - on the agenda.	0.47089947089947093	0.3333333333333333	54.589338509320314	38.08096673773595
Palmer's film credits include Love And Honor, opposite Liam Hemsworth.	Among the films include Palmers "love is invincible" with Liam Hemsworth.	0.4666666666666666	0.4	46.811296761892514	45.503212081491064
The boardroom is now contemplating the possibility of working together.	Now the boards are thinking about a possible cooperation.	0.0	0.0	36.759900284600846	0.0
However, there is still no charter explaining all the complex details.	A charter for all complicated details is it however not.	0.5833333333333333	0.0	63.37833095999317	43.39397205857212
The ruling comes after a summer that has featured some of the largest and most high-profile protests in Hong Kong in years.	The decision follows a summer in which some of the largest and most effective public protests took place in Hong Kong for several years.	0.5833333333333333	0.4	62.20594049317865	51.62333957737551
The brunt of the strike will affect the transport of goods.	The main thrust of the Warnstreiks is freight transport.	0.13333333333333333	0.0	27.89715492686175	10.108844328543888
The first series of The Lenny Henry Show aired in 1984, and in the Nineties he was known as, among other things, chef Gareth Blacklock in the comedy series Chef!.	The first row of the Lenny Henry show went 1984 on shipment, and in the ninetieses, it was among other things as the chef Gareth Blacklock in the Comedyserie boss! well known.	0.2857142857142857	0.2857142857142857	57.22797775011725	28.571428571428584
Yemeni media report that there is traffic chaos in the capital.	Yemeni media reported a traffic chaos in the capital.	0.8888888888888888	0.6666666666666666	96.98770590212746	83.33333333333336
The world gasped in 2004 when baby Alyona was carried out of the Beslan siege cradled in the arms of a Russian policeman.	The World 2004 held the breath, as the baby eat in the arms of a Russian policeman from the siege of Beslan was carried.	0.4791666666666667	0.375	53.193828802922845	42.27477944592015
He spent $120.	He gave $120.	1.0	1.0	100.0	100.00000000000004
It is hard to accept it when something so terribly unfair happens to you.	It's hard to accept that, if a bit so happens Unfair.	0.0	0.0	0.0	0.0
Of course I don't hate you.	Naturally I do not hate you.	0.0	0.0	0.0	0.0
I realised then how folk on the other side of the world can understand our feelings, can show their support.	I understood at that time, as people on the other side of the world can understand our feelings, and show their support.	0.41666666666666663	0.25	52.40882323816005	37.50000000000001
However, on Friday, the sheer numbers of those resting up was striking: The 700 participants of the hr4 cycle tour, together with their entourages, were all enjoying a break in the lower resort of Bad Salzhausen, and they would later be attending an open air party in the Alteburgpark in Schotten, too.	On Friday, however, the number of Rastenden: the 700 participants of the hr4-Radtour and Begleittross enjoyed a break in the lower spa park of Bad Salzhausen and later a party under the open sky in the Schottener.	0.3191919191919192	0.18181818181818182	32.202856682165816	24.90513085472744
The Kremlin and the separatists have lately branded the seized territory "Novorossiya," or "New Russia," a term that harkens to pre-revolutionary glory days of the Russian empire.	The Kremlin and the separatists have recently called the "Novorossija" or "Khadjibey," a term that is reminiscent of the pre-revolutionary heyday of the Russian empire.	0.32142857142857145	0.125	41.83253857093083	24.86005134090837
The Harvey millionaire brings WA up to 59 division one winners for the year, totalling in nearly $85 million.	The millionaire Harvey is the fifty-ninth winner of the first division in the WA this year, with a total of nearly 85 million $.	0.5166666666666666	0.25	55.920566665095954	45.081633246407925
"Let's be crystal clear: They are mentioned in the coalition agreement, and we will have them", the party leader said on Monday following a CDU party conference with top committees in Berlin.	"To put it bluntly, it is in the coalition agreement, and it will come," said the party leader on Monday after meetings of the CDU's top bodies in Berlin.	0.5714285714285714	0.5714285714285714	59.56150058456597	57.14285714285717
"It was not an easy decision to make, but I've been thinking about it for months.	The decision is not easy, it is matured for several months.	0.5833333333333333	0.0	44.78463482910435	49.99999999999999
All we have at the moment is this statement from Twitch CEO Emmett Shear: "We chose Amazon because they believe in our community, they share our values and long-term vision, and they want to help us get there faster."	All we know at the moment about it, is this statement by Emmet shear, President of twitch: "We have for Amazon decided, because they believe in our community, they share our values and our long-term visions and they want to help us to get there faster."	0.3888888888888889	0.2222222222222222	56.03090332711642	34.52024168443399
The first day back at school is traditionally celebrated by children wearing embroidered shirts, carrying balloons and giving flowers to their teachers.	The first day of the new school year, is traditionally celebrated with the children wear embroidered shirts, balloons in the hands of their teachers and give flowers.	0.6428571428571429	0.5714285714285714	68.40133419576506	59.46191368196502
The brunt of the strike will affect the transport of goods.	The main thrust of the warning strike was the freight.	0.2222222222222222	0.0	27.25907610969654	16.666666666666664
Think of the neighbours	Think of the residents	0.0	0.0	8.503401360544219	0.0
When I see online the photograph of me climbing into the school window, I think that many people will see it for the first time, understand about our disaster, and stop this from happening any more.	If I in an online way see the photo from myself as I climb back into the school, I think that many people see it for the first time, understand our disaster and contribute to something like that not happening again.	0.6666666666666666	0.4	74.02786028731968	57.35758882342886
Prosecutors said Mr Stewart drove his Audi Q3 without due care and attention and knocked the girl down to her injury.	The prosecution claims that Mr steward had violated his Audi Q3 controlled without the necessary care and attention and the girl.	0.47916666666666663	0.25	67.20728161553728	40.939507550931914
I like being an actor.	I am an actor.	1.0	1.0	100.0	100.00000000000004
He has produced a study of sufferers which suggests that "a substantial proportion of mesotheliomas with no known occupational or domestic exposure were probably caused by environmental asbestos exposure."	He has presented a study of those affected will be shown that "a substantial proportion of Mesotheliome without known suspension through work or at home was probably caused by asbestos contact in the environment."	0.3611111111111111	0.0	39.97346812435626	17.180499027351097
